ward,year,category,cost
17,2021,Misc. CDOT,810
17,2021,Street Redesign,23500
17,2021,Misc.,34880
17,2021,Sidewalk Repair,162290
17,2021,Lighting,280500
17,2021,Alleys,348460
17,2021,Street Resurfacing,649560
17,2022,Misc. CDOT,300
17,2022,Lighting,1500
17,2022,Misc.,6820
17,2022,Street Redesign,9400
17,2022,Alleys,58890
17,2022,Sidewalk Repair,409470
17,2022,Street Resurfacing,1013620
18,2019,Street Redesign,18800
18,2019,Sidewalk Repair,350750
18,2019,Street Resurfacing,950450
18,2020,Street Redesign,7050
18,2020,Alleys,62820
18,2020,Sidewalk Repair,110940
18,2020,Street Resurfacing,1139190
18,2021,Lighting,500
18,2021,Misc. CDOT,660
18,2021,Street Redesign,14100
18,2021,Alleys,24830
18,2021,Misc.,89520
18,2021,Sidewalk Repair,207460
18,2021,Street Resurfacing,1162940
18,2022,Misc.,5490
18,2022,Lighting,26890
18,2022,Street Redesign,43050
18,2022,Sidewalk Repair,119830
18,2022,Street Resurfacing,1304740
19,2019,Street Redesign,3100
19,2019,Misc. CDOT,22300
19,2019,Parks,50000
19,2019,Street Resurfacing,1244600
19,2020,Sidewalk Repair,3720
19,2020,Alleys,27700
19,2020,Parks,50000
19,2020,Street Resurfacing,1238590
19,2021,Parks,91000
19,2021,Misc.,160990
19,2021,Street Resurfacing,1248010
19,2022,Alleys,700
19,2022,Misc. CDOT,1320
19,2022,Lighting,3000
19,2022,Street Redesign,14200
19,2022,Street Resurfacing,1452200
20,2019,Street Redesign,37320
20,2019,Alleys,102610
20,2019,Sidewalk Repair,160850
20,2019,Lighting,1019220
20,2020,Alleys,38080
20,2020,Lighting,153730
20,2020,Street Resurfacing,1128190
20,2021,Misc. CDOT,1050
20,2021,Ped. Infra.,8170
20,2021,Sidewalk Repair,93590
20,2021,Lighting,167930
20,2021,Alleys,274670
20,2021,Street Resurfacing,954590
20,2022,Lighting,1000
20,2022,Misc. CDOT,1350
20,2022,Misc.,2210
20,2022,Ped. Infra.,15000
20,2022,Sidewalk Repair,294350
20,2022,Alleys,344240
20,2022,Street Resurfacing,725880
21,2019,Misc. CDOT,1500
21,2019,Street Redesign,23500
21,2019,Alleys,86320
21,2019,Sidewalk Repair,593100
21,2019,Street Resurfacing,615580
21,2020,Misc. CDOT,1320
21,2020,Street Redesign,39950
21,2020,Alleys,265370
21,2020,Sidewalk Repair,298480
21,2020,Street Resurfacing,714880
21,2021,Misc. CDOT,660
21,2021,Street Redesign,7050
21,2021,Alleys,109920
21,2021,Lighting,259450
21,2021,Street Resurfacing,544490
21,2021,Sidewalk Repair,578420
21,2022,Misc. CDOT,660
21,2022,Lighting,4300
21,2022,Misc.,4490
21,2022,Street Redesign,52920
21,2022,Alleys,233590
21,2022,Sidewalk Repair,407570
21,2022,Street Resurfacing,796460
22,2019,Misc. CDOT,2400
22,2019,Street Redesign,21150
22,2019,Misc.,23630
22,2019,Police Cameras,49550
