ward,year,item,category,location,cost
43,2021,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",Ped. Infra.,N CLARK ST & W ROSLYN PL,350
43,2021,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",Ped. Infra.,W DIVERSEY PKWY & N HAMPDEN CT,350
43,2021,"In-Road ""State Law Stop For Pedestrians"" Sign Menu",Ped. Infra.,W DIVERSEY PKWY & N WILTON AVE,350
43,2022,Concrete Alley Menu,Alleys,W BELDEN AVE & N LINCOLN AVE&N GENEVA TER & W BELDEN AVE; 613 W BELDEN AVE,241940
43,2022,Diversey Turf Field - Safety Netting,Misc.,243 W DIVERSEY PKWY,134000
43,2022,Street Resurfacing Menu,Street Resurfacing,ON N FREMONT ST FROM W WILLOW ST TO W WISCONSIN ST,72030
43,2022,Street Resurfacing Menu,Street Resurfacing,ON N VINE ST FROM W NORTH AVE TO W WILLOW ST,71900
43,2022,Street Resurfacing Menu,Street Resurfacing,ON N HOWE ST FROM W ARMITAGE AVE TO W DICKENS AVE,63520
43,2022,Street Resurfacing Menu,Street Resurfacing,ON N SEDGWICK ST FROM W MENOMONEE ST TO W WISCONSIN ST,57470
43,2022,Bus Pad,Misc.,W DIVERSEY PKWY & N SHEFFIELD AVE,55620
43,2022,Alley Resurfacing Menu,Alleys,N HALSTED ST & W WILLOW ST&W NORTH AVE & N DAYTON ST; 1600 N HALSTED ST,52620
43,2022,Arterial Street Bump Outs Menu,Ped. Infra.,N RACINE AVE & W BELDEN AVE,50000
43,2022,Chicago Park District North Pond Restoration,Parks,ON N STOCKTON DR FROM N CANNON DR TO W FULLERTON PKWY,50000
43,2022,Curb & Gutter Menu,Street Resurfacing,W WEBSTER AVE & N ORCHARD ST,49220
43,2022,Alley Resurfacing Menu,Alleys,N MILDRED AVE & W SCHUBERT AVE&W DIVERSEY PKWY & N WILTON AVE; 2748 N MILDRED AVE,48440
43,2022,Alley Resurfacing Menu,Alleys,2214 N BISSELL ST; N BISSELL ST & W WEBSTER AVE&W BELDEN AVE & N SHEFFIELD AVE,47100
43,2022,Curb & Gutter Menu,Street Resurfacing,W WEBSTER AVE & N CLEVELAND AVE,40880
43,2022,Alley Resurfacing Menu,Alleys,N CLIFTON AVE & W DICKENS AVE&W WEBSTER AVE & N SEMINARY AVE; 2113 N CLIFTON AVE,36460
43,2022,Alley Resurfacing Menu,Alleys,2615 N SHEFFIELD AVE; N SHEFFIELD AVE & W SCHUBERT AVE&W WRIGHTWOOD AVE & N WILTON AVE,35950
43,2022,Bus Pad,Misc.,N HALSTED ST & W WRIGHTWOOD AVE,34190
43,2022,Curb & Gutter Menu,Street Resurfacing,544 W BELDEN AVE,33640
43,2022,Bus Pad,Misc.,W DIVERSEY PKWY & N HALSTED ST,29580
43,2022,Curb & Gutter Menu,Street Resurfacing,1822-1850 N DAYTON ST,28500
43,2022,Street Resurfacing Menu,Street Resurfacing,ON W SCHUBERT AVE FROM N DAYTON ST TO N MILDRED AVE,28060
43,2022,Sidewalk Menu,Sidewalk Repair,540 W ARMITAGE AVE,26450
43,2022,Sidewalk Menu,Sidewalk Repair,ON W NORTH BLVD FROM N STATE PKWY TO N DEARBORN PKWY,24420
